DATE,INF,DP,DM,DC,DS,TS,DT,RF_daily,RF_monthly
2023-01-01,0.010950496680389278,-0.01931502816850294,-0.023608867428402482,0.007136190823292474,0.0,-3.64,-0.003548387096774519,0.017620436064391676,0.3706818930553135
2023-01-02,0.010950496680389278,-0.01931502816850294,-0.023608867428402482,0.007136190823292474,0.0,-3.6435483870967746,-0.003548387096774519,0.017633907600878018,0.3709657943466116
2023-01-03,0.010949297677893743,-0.01931875959236382,-0.02361444253087581,0.0071356816074573245,0.0,-3.6470967741935483,-0.003548387096773631,0.01764737868192867,0.37124968680495307
2023-01-04,0.010948098937967238,-0.01932249245824491,-0.023620020266987042,0.0071351724642451896,0.040000000000000036,-3.650645161290323,-0.003548387096774519,0.01766084930756584,0.3715335704309153
2023-01-05,0.010946900460454358,-0.019326226766968095,-0.023625600638679963,0.00713466339372268,0.009999999999999787,-3.704193548387097,-0.05354838709677434,0.017674319477878342,0.37181744522509774
2023-01-06,0.010945702245332908,-0.01932996251936636,-0.02363118364777621,0.007134154395800984,-0.020000000000000018,-3.6477419354838707,0.05645161290322642,0.017687789192843972,0.37210131118803336
2023-01-07,0.010944504292469686,-0.01933369971628381,-0.02363676929618627,0.007133645470546712,-0.010000000000000009,-3.657956989247312,-0.01021505376344134,0.017701258452484936,0.37238516832032165
2023-01-08,0.0109433066018203,-0.01933743835856453,-0.02364235758570956,0.007133136617848852,-0.009999999999999787,-3.6681720430107534,-0.01021505376344134,0.01771472725689005,0.3726690166225177
2023-01-09,0.010942109173251545,-0.019341178447030406,-0.023647948518289875,0.0071326278377740115,-0.010000000000000009,-3.6783870967741934,-0.010215053763440007,0.01772819560603711,0.3729528560952211
2023-01-10,0.010940912006741226,-0.019344919982536644,-0.023653542095793283,0.007132119130255586,-0.009999999999999787,-3.671935483870968,0.006451612903225268,0.017741663499970528,0.3732366867390091
2023-01-11,0.010939715102111742,-0.01934866296591623,-0.023659138320041413,0.007131610495315775,0.009999999999999787,-3.715483870967742,-0.043548387096773666,0.01775513093873471,0.37352050855441465
2023-01-12,0.010938518459363097,-0.01935240739801326,-0.02366473719296696,0.007131101932865773,-0.020000000000000018,-3.7190322580645163,-0.003548387096774519,0.01776859792235186,0.37380432154205945
2023-01-13,0.010937322078362092,-0.019356153279671832,-0.023670338716447088,0.007130593443016593,-0.009999999999999787,-3.7325806451612906,-0.013548387096774306,0.01778206445084418,0.3740881257024986
2023-01-14,0.01093612595906433,-0.019359900611713828,-0.023675942892370072,0.007130085025612816,0.0024999999999999467,-3.7486290322580644,-0.01604838709677381,0.01779553052427829,0.37437192103628725
2023-01-15,0.010934930101314405,-0.019363649395005556,-0.023681549722568657,0.007129576680743254,0.0024999999999999467,-3.7646774193548387,-0.016048387096774253,0.017808996142631983,0.3746557075440249
2023-01-16,0.010933734505090128,-0.019367399630380012,-0.023687159208975534,0.007129068408341301,0.0024999999999999467,-3.7807258064516134,-0.016048387096774697,0.01782246130597187,0.37493948522628884
2023-01-17,0.010932539170280496,-0.019371151318681286,-0.023692771353490086,0.007128560208429159,0.0024999999999999467,-3.796774193548387,-0.01604838709677381,0.017835926014297954,0.3752232540836342
2023-01-18,0.010931344096818913,-0.019374904460753475,-0.023698386157945055,0.00712805208091802,-0.009999999999999787,-3.7403225806451617,0.056451612903225534,0.017849390267676846,0.37550701411663834
2023-01-19,0.010930149284572175,-0.019378659057440677,-0.023704003624284247,0.007127544025896695,0.009999999999999787,-3.723870967741936,0.0164516129032255,0.01786285406613075,0.3757907653258785
2023-01-20,0.010928954733518091,-0.019382415109598095,-0.02370962375440704,0.007127036043231968,-0.009999999999999787,-3.72741935483871,-0.003548387096773631,0.017876317409681874,0.37607450771190987
2023-01-21,0.010927760443501256,-0.01938617261805872,-0.023715246550146184,0.007126528133034856,-0.0033333333333334103,-3.7343010752688173,-0.006881720430107485,0.01788978029835242,0.3763582412753541
2023-01-22,0.010926566414521678,-0.01938993158367775,-0.02372087201344548,0.0071260202951721405,-0.0033333333333334103,-3.7411827956989256,-0.006881720430108373,0.017903242732186797,0.37664196601674416
2023-01-23,0.01092537264640175,-0.01939369200729929,-0.02372650014621542,0.007125512529710432,-0.0033333333333334103,-3.7480645161290322,-0.006881720430106597,0.017916704711229414,0.3769256819366573
2023-01-24,0.010924179139141482,-0.019397453889778538,-0.023732130950344273,0.007125004836583125,-0.020000000000000018,-3.7516129032258068,-0.003548387096774519,0.01793016623548027,0.3772093890356931
2023-01-25,0.010922985892563268,-0.01940121723195959,-0.02373776442768701,0.007124497215834624,0.0,-3.7351612903225804,0.016451612903226387,0.017943627304983778,0.37749308731438447
2023-01-26,0.010921792906689319,-0.019404982034686546,-0.02374340058020964,0.007123989667376119,-0.009999999999999787,-3.778709677419355,-0.043548387096774555,0.017957087919762138,0.3777767767733309
2023-01-27,0.010920600181342026,-0.019408748298814612,-0.02374903940981155,0.007123482191252017,0.0,-3.8122580645161297,-0.03354838709677477,0.017970548079881965,0.3780604574131097
2023-01-28,0.0109194077164992,-0.01941251602519899,-0.02375468091835881,0.00712297478739571,-0.006666666666666599,-3.81247311827957,-0.00021505376344022054,0.017984007785321054,0.37834412923429817
