timestamp,close,high,low,trade_count,open,volume,vwap
2023-01-03 05:00:00+00:00,125.145,130.86,124.17,16801,130.25,2123546,125.784326
2023-01-04 05:00:00+00:00,126.39,128.65,125.105,14761,126.93,1638939,126.692583
2023-01-05 05:00:00+00:00,125.03,127.74,124.765,12850,126.96,1440170,126.261401
2023-01-06 05:00:00+00:00,129.56,130.275,124.895,13173,125.98,1349339,128.167253
2023-01-09 05:00:00+00:00,130.18,133.41,129.89,10899,130.56,1236469,131.931094
2023-01-10 05:00:00+00:00,130.74,131.23,128.125,8319,130.26,918335,129.596146
2023-01-11 05:00:00+00:00,133.37,133.47,130.49,10252,131.36,1209100,132.215894
2023-01-12 05:00:00+00:00,133.36,134.24,131.46,11630,134.13,1355666,133.084393
2023-01-13 05:00:00+00:00,134.73,134.91,131.705,9475,131.86,904681,133.519425
2023-01-17 05:00:00+00:00,135.91,137.28,134.2,11698,134.865,1251222,135.787119
2023-01-18 05:00:00+00:00,135.2,138.61,135.04,15742,136.92,1779440,136.535539
2023-01-19 05:00:00+00:00,135.27,136.25,133.78,9771,134.05,1023477,134.971981
2023-01-20 05:00:00+00:00,137.89,137.96,134.28,11609,135.06,1273232,135.970047
2023-01-23 05:00:00+00:00,141.095,143.315,137.94,16486,138.09,2239571,141.423179
2023-01-24 05:00:00+00:00,142.53,143.13,140.3,8633,140.5,838216,142.155669
2023-01-25 05:00:00+00:00,141.81,142.425,138.815,9990,140.85,1154572,140.837719
2023-01-26 05:00:00+00:00,143.94,144.25,141.93,10016,143.22,1030855,143.316486
2023-01-27 05:00:00+00:00,145.95,147.21,143.12,12177,143.12,1237258,146.021494
2023-01-30 05:00:00+00:00,143.02,145.52,142.865,8830,144.82,1003188,143.769878
2023-01-31 05:00:00+00:00,144.3,144.33,142.285,8619,142.73,907942,143.390341
2023-02-01 05:00:00+00:00,145.44,146.6,141.38,11752,143.97,1249541,143.712799
2023-02-02 05:00:00+00:00,150.62,151.18,148.17,20302,148.89,2045098,149.738478
2023-02-03 05:00:00+00:00,154.51,157.36,147.835,30857,147.875,4085828,154.34488
2023-02-06 05:00:00+00:00,151.74,153.07,150.785,10618,152.455,1042601,152.07461
2023-02-07 05:00:00+00:00,154.68,155.2,150.75,10357,150.75,1193188,153.472593
2023-02-08 05:00:00+00:00,151.95,154.57,151.18,11162,153.79,1151312,152.314272
2023-02-09 05:00:00+00:00,150.83,154.27,150.43,8860,153.84,935481,152.448584
2023-02-10 05:00:00+00:00,151.0,151.225,149.26,7825,149.41,760448,150.440671
2023-02-13 05:00:00+00:00,153.84,154.245,150.98,9824,150.98,969944,153.220923
2023-02-14 05:00:00+00:00,153.14,153.75,150.92,10407,152.12,987798,152.598022
2023-02-15 05:00:00+00:00,155.35,155.485,152.92,14362,153.17,946558,154.397305
2023-02-16 05:00:00+00:00,153.71,156.32,153.38,11075,153.47,1087418,154.952699
2023-02-17 05:00:00+00:00,152.53,152.98,150.86,9544,152.37,834811,151.93741
2023-02-21 05:00:00+00:00,148.5,151.28,148.405,8988,150.21,960590,149.56297
2023-02-22 05:00:00+00:00,148.92,149.93,147.18,10779,148.66,817344,148.492246
2023-02-23 05:00:00+00:00,149.38,150.32,147.245,6528,150.1,653250,148.818951
2023-02-24 05:00:00+00:00,146.68,147.17,145.73,7705,147.04,659419,146.320928
2023-02-27 05:00:00+00:00,147.9,149.14,147.49,6019,147.74,616153,148.152979
2023-02-28 05:00:00+00:00,147.47,149.05,146.86,8328,147.04,566243,147.796606
2023-03-01 05:00:00+00:00,145.35,147.22,145.01,9242,146.82,948777,145.913723
2023-03-02 05:00:00+00:00,145.92,146.695,143.91,11568,144.4,1370792,145.094621
2023-03-03 05:00:00+00:00,151.08,151.085,147.34,13458,147.92,1278282,149.821306
2023-03-06 05:00:00+00:00,153.85,156.29,153.46,13500,153.84,1305944,154.775282
2023-03-07 05:00:00+00:00,151.58,154.025,151.14,9545,153.8,956489,152.372452
2023-03-08 05:00:00+00:00,152.86,153.45,151.85,6871,152.855,612686,152.693932
2023-03-09 05:00:00+00:00,150.54,154.51,150.245,7374,153.515,708431,152.506188
2023-03-10 05:00:00+00:00,148.48,150.93,147.615,8720,150.15,852808,148.978248
2023-03-13 04:00:00+00:00,150.44,153.14,147.87,13430,147.87,1304258,151.239533
2023-03-14 04:00:00+00:00,152.44,153.39,150.16,10934,151.34,1028518,151.98589
2023-03-15 04:00:00+00:00,153.0,153.22,149.92,9759,150.96,1110028,151.632783
2023-03-16 04:00:00+00:00,155.9,156.35,151.69,10426,152.26,1058084,154.771435
2023-03-17 04:00:00+00:00,155.03,156.72,154.3,8650,155.89,883079,155.260523
2023-03-20 04:00:00+00:00,157.465,157.8,154.165,9976,155.11,1071419,156.535343
2023-03-21 04:00:00+00:00,159.38,159.39,156.575,14995,157.27,1643852,158.251107
2023-03-22 04:00:00+00:00,157.86,162.12,157.84,11080,159.23,1150428,159.842318
2023-03-23 04:00:00+00:00,158.88,161.54,157.72,9870,158.79,948536,159.726138
2023-03-24 04:00:00+00:00,160.25,160.34,157.88,7349,158.9,714138,159.166379
2023-03-27 04:00:00+00:00,158.32,160.75,157.88,5886,159.93,562684,158.957814
